,Total Revenue
AZZ,838917000.0
B,1124391000.0
BA,58158000000.0
BAC,74208000000.0
BAH,7463841000.0
BALY,372792000.0
BANC,213758000.0
BAND,343113000.0
BANF,381242000.0
BANR,512042000.0
BATRA,178000000.0
BATRK,178000000.0
BAX,11673000000.0
BBBY,9233028000.0
BBIO,8249000.0
BBSI,880824000.0
BBY,47262000000.0
BC,4347500000.0
BCAB,429000.0
BCBP,83459000.0
BCC,5474838000.0
BCEI,218090000.0
BCEL,0.0
BCLI,0.0
BCML,76748000.0
BCO,3690900000.0
BCOR,754952000.0
BCOV,197353000.0
BCPC,703644000.0
BCRX,17812000.0
BDC,1862716000.0
BDN,516312000.0
BDSI,156471000.0
BDTX,0.0
BDX,17117000000.0
BE,794247000.0
BEAM,24000.0
BECN,6943900000.0
BELFB,465771000.0
BEN,5566500000.0
BEPC,3186000000.0
BERY,11709000000.0
BFAM,1515093000.0
BFC,103230000.0
BFIN,51198000.0
BFS,225207000.0
BFST,137775000.0
BG,41404000000.0
BGCP,1980113000.0
BGS,1967909000.0
BGSF,277890880.0
BH,433683000.0
BHB,136543000.0
BHE,2053131000.0
BHF,8498000000.0
BHLB,307211000.0
BHVN,63627000.0
BIG,6199186000.0
BIGC,152368000.0
BIIB,13444600000.0
BILL,157600000.0
BIO,2545626000.0
BIPC,1430000000.0
BJ,15430017000.0
BJRI,778510000.0
BK,15472000000.0
BKD,3023257000.0
BKE,901278000.0
BKH,1696941000.0
BKI,1238500000.0
BKNG,6796000000.0
BKR,20705000000.0
BKU,706548000.0
BL,351737000.0
BLBD,879221000.0
BLD,2718038000.0
BLDR,8558874000.0
BLFS,48087000.0
BLI,64303000.0
BLK,16205000000.0
BLKB,913219000.0
BLL,11781000000.0
BLMN,3170561000.0
BLUE,250734000.0
BLX,100592000.0
BMI,425544000.0
BMRC,100615000.0
BMRN,1860455000.0
BMTC,184081000.0
BMY,42518000000.0
BNFT,268141000.0
BNL,321637000.0
BOCH,54257000.0
BOH,563153000.0
BOKF,1729801000.0
BOLT,231000.0
BOMN,45743463.0
BOOM,229161000.0
BOOT,845575000.0
BOX,770770000.0
BPFH,295312000.0
BPMC,793735000.0
BPOP,2076389000.0
BPRN,48431000.0
BPYU,1367373000.0
BR,4529000000.0
BRBR,988300000.0
BRC,1081299000.0
BRG,231098000.0
BRKL,222921000.0
BRKR,1987500000.0
BRKS,897273000.0
BRMK,121128000.0
BRO,2610564000.0
BRP,240919000.0
BRT,22078000.0
BRX,1053266000.0
BRY,406052000.0
BSGM,0.0
BSIG,713900000.0
BSRR,122435000.0
BSX,9913000000.0
BTAI,0.0
BTU,2881100000.0
BURL,5754727000.0
BUSE,363051000.0
BV,2346000000.0
BVH,455166000.0
BWA,10165000000.0
BWB,80315000.0
BWFG,50114000.0
BWXT,2123516000.0
BXMT,264524000.0
BXP,2737804000.0
BXS,941471000.0
BY,221089000.0
BYD,2178490000.0
BYND,406785000.0
BYSI,180000.0
BZH,2127077000.0
C,58369000000.0
CABO,1325229000.0
CAC,174404000.0
CACC,920400000.0
CACI,5720042000.0
CADE,648811000.0
CAG,11054400000.0
CAH,152922000000.0
CAI,294013000.0
CAKE,1983225000.0
CAL,2117070000.0
CALA,0.0
CALM,1351609000.0
CALX,541239000.0
CAMP,308587000.0
