,Total Revenue
IFF,5084239000.0
IGMS,0.0
IGT,3115456000.0
IHC,438065000.0
IHRT,2948218000.0
III,265763000.0
IIIN,472618000.0
IIIV,150134000.0
IIN,102773000.0
IIPR,116896000.0
IIVI,2380071000.0
ILMN,3239000000.0
ILPT,254575000.0
IMAX,137003000.0
IMGN,132299000.0
IMKTA,4610609025.0
IMMR,30456000.0
IMVT,0.0
IMXI,310446000.0
INBK,91984000.0
INBX,12888000.0
INCY,2666702000.0
INDB,425635000.0
INDT,37388000.0
INFN,1355596000.0
INFO,4287800000.0
INFU,96597000.0
INGN,308487000.0
INGR,5987000000.0
INN,234463000.0
INO,7411220.0
INOV,667524000.0
INS,35873000.0
INSG,313832000.0
INSM,164413000.0
INSP,115381000.0
INSW,421648000.0
INT,20358300000.0
INTC,77867000000.0
INTU,7679000000.0
INVA,336794000.0
INVH,1822828000.0
INZY,0.0
IONS,729264000.0
IOSP,1193100000.0
IOVA,0.0
IP,20580000000.0
IPAR,539009000.0
IPG,8064500000.0
IPGP,1200724000.0
IPI,150388000.0
IQV,11359000000.0
IR,4910200000.0
IRBT,1430390000.0
IRDM,583439000.0
IRM,4147270000.0
IRT,211906000.0
IRTC,265166000.0
IRWD,389523000.0
ISBC,746046000.0
ISEE,0.0
ISRG,4358400000.0
ISTR,74470000.0
IT,4099403000.0
ITCI,22812979.0
ITGR,1073442000.0
ITI,114117000.0
ITIC,236382000.0
ITOS,0.0
ITRI,2173350000.0
ITT,2477800000.0
ITW,12574000000.0
IVC,850689000.0
IVR,-1647096000.0
IVZ,6145600000.0
J,13566975000.0
JACK,1021506000.0
JAMF,269451000.0
JAZZ,2363567000.0
JBGS,591087000.0
JBHT,9636573000.0
JBL,27266438000.0
JBLU,2957000000.0
JBSS,880092000.0
JBT,1727800000.0
JCI,22317000000.0
JEF,6955930000.0
JELD,4235677000.0
JJSF,1022038000.0
JKHY,1697067000.0
JLL,8900100000.0
JNCE,62339000.0
JNJ,82584000000.0
JNPR,4445100000.0
JOE,160555000.0
JOUT,594209000.0
JPM,102063000000.0
JRVR,668689000.0
JWN,10715000000.0
JYNT,58682976.0
K,13770000000.0
KAI,635028000.0
KALA,6362000.0
KALU,1172700000.0
KALV,12690000.0
KAMN,784459000.0
KAR,2187700000.0
KBAL,727859000.0
KBH,4183174000.0
KBR,5767000000.0
KDMN,8288000.0
KDNY,827000.0
KDP,11618000000.0
KE,1200550000.0
KELYA,4516000000.0
KEX,2171408000.0
KEY,5665000000.0
KEYS,4221000000.0
KFRC,1397700000.0
KFY,1932732000.0
KHC,26185000000.0
KIDS,71078000.0
KIM,1057893000.0
KIN,3464000.0
KKR,8510305000.0
KLAC,5806424000.0
KMB,19140000000.0
KMI,11700000000.0
KMPR,5111100000.0
KMT,1885305000.0
KMX,20092149000.0
KN,764300000.0
KNL,1236400000.0
KNSA,0.0
KNSL,459886000.0
KNTE,0.0
KNX,4673863000.0
KO,33014000000.0
KOD,0.0
KOP,1669100000.0
KOS,804035000.0
KPTI,108085000.0
KR,132498000000.0
KRA,1563150000.0
KRC,898397000.0
KREF,92813000.0
KRG,266645000.0
KRNY,164876000.0
KRO,1638800000.0
KRON,0.0
KROS,0.0
KRTX,0.0
KRYS,0.0
KSS,15955000000.0
KSU,2632600000.0
KTB,2097839000.0
KTOS,747700000.0
KURA,0.0
KVHI,158733000.0
KW,497000000.0
KWR,1417677000.0
KYMR,34034000.0
KZR,0.0
L,12549000000.0
LAD,13124300000.0
LADR,111805000.0
LAMR,1568856000.0
LANC,1334388000.0
LAND,57027000.0
LASR,222789000.0
LAUR,1024917000.0
LAWS,351591000.0
LAZ,2566859000.0
LB,11847000000.0
LBAI,207575000.0
LBC,130593000.0
LBRDA,50706000.0
LBRDK,50706000.0
LBRT,965787000.0
LC,450059000.0
LCI,545744000.0
LCII,2796166000.0
LCNB,69998000.0
LCUT,769169000.0
LDL,764041000.0
LDOS,12297000000.0
LE,1427448000.0
LEA,17045500000.0
LECO,2655400000.0
LEG,4280200000.0
LEN,22488854000.0
LESL,1112229000.0
LEVL,84598000.0
LFUS,1445695000.0
LFVN,232915000.0
LGIH,2367929000.0
LGND,186419000.0
LH,13978500000.0
LHCG,2063204000.0
LHX,18194000000.0
LII,3634100000.0
LILA,3764600000.0
LILAK,3764600000.0
LIN,27243000000.0
LIND,82356000.0
LITE,1678600000.0
LIVN,934241000.0
LIVX,38659000.0
LJPC,33419000.0
LKFN,195081000.0
LKQ,11628830000.0
LL,1097702000.0
LLNW,230194000.0
LLY,24539800000.0
LMAT,129366000.0
LMND,94400000.0
LMNR,164559000.0
LMNX,417396000.0
LMT,65398000000.0
LNC,17439000000.0
LNDC,590366000.0
LNG,9293000000.0
LNN,474692000.0
LNSR,26382000.0
LNT,3416000000.0
LNTH,339410000.0
LOB,240059000.0
LOCO,426087000.0
LOPE,844096000.0
LORL,0.0
LOVE,320737750.0
LOW,89597000000.0
LPG,332190353.0
LPLA,5871640000.0
LPSN,366620000.0
LPX,2788000000.0
LQDA,739628.0
LQDT,205940000.0
LRCX,10044736000.0
LRN,1040765000.0
LSCC,408120000.0
LSI,621609000.0
LSTR,4136380000.0
LSXMA,8040000000.0
LSXMK,8040000000.0
LTC,157922000.0
LTHM,288200000.0
LTRPA,604000000.0
LULU,4401879000.0
LUMN,20712000000.0
LUNA,82681000.0
LUNG,32733000.0
LUV,9048000000.0
LVS,3612000000.0
LW,3792400000.0
LXFR,324800000.0
LXP,330448000.0
LXRX,23995000.0
LYB,27753000000.0
LYFT,2364681000.0
LYTS,305558000.0
LYV,1861178000.0
LZB,1703982000.0
M,18097000000.0
MA,15301000000.0
MAA,1677984000.0
MAC,758982000.0
MAN,18001000000.0
MANH,586372000.0
MANT,2518384000.0
MAR,2119000000.0
MAS,7188000000.0
MASI,1143744000.0
MASS,26894000.0
MAT,4583660000.0
MATW,1498306000.0
MATX,2383300000.0
MAX,584814000.0
MAXN,844836000.0
MAXR,1723000000.0
MBI,360000000.0
MBIN,339781000.0
MBIO,0.0
MBUU,653163000.0
MBWM,153368000.0
MC,943276000.0
MCB,132436000.0
MCBC,82513000.0
MCBS,90505000.0
MCD,19207800000.0
MCF,112920000.0
MCFE,2906000000.0
MCFT,363073000.0
MCHP,5274200000.0
MCK,231051000000.0
MCO,5371000000.0
MCRB,33215000.0
MCRI,184413000.0
MCS,220486000.0
MCY,3784511000.0
MD,1733951000.0
MDB,590380000.0
MDC,3901211000.0
MDGL,0.0
MDLA,477221000.0
MDLZ,26581000000.0
MDP,2857600000.0
MDRX,1502700000.0
MDT,30117000000.0
MDU,5532750000.0
MED,934842000.0
MEDP,925925000.0
MEG,328243000.0
MEI,1023900000.0
MEIP,28913000.0
MESA,545070000.0
MET,67842000000.0
MFA,-495942000.0
MFNC,64005000.0
MG,592571000.0
MGEE,524533000.0
MGLN,4577531000.0
MGM,4917133000.0
MGNI,221628000.0
MGNX,104883000.0
MGPI,395521000.0
MGRC,572554000.0
MGTA,0.0
MGTX,15562985.0
MGY,534506000.0
MHK,9552197000.0
MHO,3046145000.0
MIC,847000000.0
MIDD,2513257000.0
MIME,501399000.0
MITK,101310000.0
MKC,5601300000.0
MKL,9735066000.0
MKSI,2330000000.0
MKTX,689125000.0
MLAB,117687000.0
MLHR,2486600000.0
MLI,2398043000.0
MLM,4432100000.0
MLP,7540000.0
MLR,651286000.0
MMAC,43776000.0
MMC,17224000000.0
MMI,716906000.0
MMM,32184000000.0
MMS,3461537000.0
MMSI,963875000.0
MNKD,65144000.0
MNOV,0.0
MNR,167817000.0
MNRL,91723000.0
MNRO,1256524000.0
MNSB,49818000.0
MNST,4598638000.0
MO,20841000000.0
MOD,1975500000.0
MODN,161056000.0
MODV,1368675000.0
MOFG,163215000.0
MOH,18375000000.0
MORF,44945000.0
MORN,1389500000.0
MOS,8681700000.0
MOV,506397000.0
MPAA,535831000.0
MPB,101916000.0
MPC,69897000000.0
MPW,1269655000.0
MPWR,844452000.0
MPX,239825000.0
MRC,2560000000.0
MRCY,796610000.0
MRK,47994000000.0
MRKR,466785.0
MRLN,63788000.0
MRNA,803395000.0
MRNS,1718000.0
MRO,3122000000.0
MRSN,828000.0
MRTN,874374000.0
MRTX,13398000.0
MRVI,284098000.0
MRVL,2968900000.0
MS,48198000000.0
MSA,1348223000.0
MSBI,226669000.0
MSCI,1695390000.0
MSEX,141592000.0
MSFT,143015000000.0
MSGE,762936000.0
MSGN,685797000.0
MSGS,603319000.0
MSI,7414000000.0
MSM,3192399000.0
MSON,62483651.0
MSP,518785000.0
MSTR,480735000.0
MTB,5154761000.0
MTCH,2391269000.0
MTD,3085177000.0
MTDR,797735000.0
MTEM,18845000.0
MTG,1199146000.0
MTH,4501217000.0
MTN,1963704000.0
MTOR,3044000000.0
MTRN,1176274000.0
MTRX,1100938000.0
MTSI,530037000.0
MTW,1443400000.0
MTX,1594800000.0
MTZ,6320975000.0
MU,21435000000.0
MUR,1751709000.0
MUSA,9504300000.0
MVBF,126444000.0
MWA,964100000.0
MXIM,2191395000.0
MXL,478596000.0
MYE,510369000.0
MYGN,599600000.0
MYRG,2247392000.0
NARI,139670000.0
NAT,354619000.0
NATH,103325000.0
NATI,1286671000.0
NATR,385205000.0
NAV,7503000000.0
NAVI,1533000000.0
NBEV,279471000.0
NBHC,316325000.0
NBIX,1045900000.0
NBN,73671000.0
NBR,2134043000.0
NBTB,410820000.0
NC,128432000.0
NCBS,181664000.0
NCLH,1279908000.0
NCMI,90400000.0
NCNO,204293000.0
NCR,6207000000.0
NDAQ,5627000000.0
NDLS,393655000.0
NDSN,2121100000.0
NEE,17997000000.0
NEM,11497000000.0
NEO,444448000.0
NEOG,418170000.0
NERV,41175600.0
NESR,834146000.0
NET,431059000.0
NETI,163732000.0
NEU,2010931000.0
NEWR,599510000.0
NEX,1202581000.0
NFBK,128538000.0
NFG,1546291000.0
NFLX,24996056000.0
NG,0.0
NGM,87368000.0
NGMS,49202000.0
NGVC,1036842000.0
NGVT,1216100000.0
NHC,977928000.0
NHI,329685000.0
NI,4681700000.0
NKE,37403000000.0
NKSH,44124000.0
NKTR,152915000.0
NKTX,0.0
NL,114537000.0
NLOK,2490000000.0
NLS,552560000.0
NLSN,6290000000.0
NLTX,0.0
NLY,1215931000.0
NMIH,433283000.0
NMRK,1904998000.0
NNBR,427534000.0
NNI,1095626000.0
NNN,660681000.0
NOC,36799000000.0
NODK,306357000.0
NOV,6090000000.0
NOVA,160820000.0
NOVT,590623000.0
NOW,4519484000.0
NP,792600000.0
NPK,352627000.0
NPO,1074000000.0
NPTN,371163000.0
NR,492625000.0
NRC,133277000.0
NRG,9093000000.0
NRIM,131561000.0
NRIX,17820000.0
NRZ,-150388000.0
NSA,432487000.0
NSC,9789000000.0
NSIT,8340579000.0
NSP,4287004000.0
NSSC,101359000.0
NSTG,117316000.0
NTAP,5412000000.0
NTB,494189000.0
NTCT,891820000.0
NTGR,1255202000.0
NTLA,57994000.0
NTNX,1307682000.0
NTRA,391005000.0
NTRS,5975800000.0
NTST,33727000.0
NTUS,415684000.0
NUAN,1478899000.0
NUE,20139658000.0
NUS,2581934000.0
NUVA,1050582000.0
NVAX,475598000.0
NVCR,494366000.0
NVDA,16675000000.0
NVEC,25412163.0
NVEE,659296000.0
NVR,7562791000.0
NVRO,362048000.0
NVST,2282000000.0
NVT,1998600000.0
NVTA,279598000.0
NWBI,440018000.0
NWE,1198670000.0
NWFL,52806000.0
NWL,9385000000.0
NWLI,690542000.0
NWN,773679000.0
NWPX,285907000.0
NWS,9008000000.0
NWSA,9008000000.0
NX,851573000.0
NXGN,540239000.0
NXRT,204800000.0
NXST,4501269000.0
NXTC,22378000.0
NYCB,1098994000.0
NYMT,-205723000.0
NYT,1754639000.0
O,1651625000.0
OBNK,196288000.0
OC,7055000000.0
OCDX,1766200000.0
OCFC,327473000.0
OCUL,17403000.0
OCX,1216000.0
ODC,283227000.0
ODP,9710000000.0
ODT,0.0
OEC,1136383000.0
OFC,611190000.0
OFIX,406562000.0
OFLX,105796000.0
OGE,2122300000.0
OGS,1530268000.0
OHI,892381000.0
OI,6091000000.0
OII,1827889000.0
OIS,638075000.0
OKE,8542242000.0
OKTA,835424000.0
OLED,428867000.0
OLLI,1808821000.0
OLMA,0.0
OLN,5758000000.0
OLP,81926000.0
OM,49935000.0
OMC,13171100000.0
OMCL,892208000.0
OMER,73813000.0
OMF,2587000000.0
OMI,8480177000.0
ON,5255000000.0
ONB,778185000.0
ONEM,380223000.0
ONEW,1022970000.0
ONTF,156941000.0
ONTO,556496000.0
OOMA,168947000.0
OPBK,50174000.0
OPCH,3032610000.0
OPI,587919000.0
OPK,1435413000.0
OPRT,525366000.0
OPRX,43313323.0
OPTN,49117000.0
OPY,1182915000.0
ORA,705342000.0
ORBC,248466000.0
ORC,12672000.0
ORCL,39068000000.0
ORGO,338298000.0
ORI,7166000000.0
ORIC,0.0
ORLY,11604493000.0
ORRF,106533000.0
OSBC,118768000.0
OSG,418692000.0
OSH,882765000.0
OSIS,1166044000.0
OSK,6856800000.0
OSPN,215691000.0
OSTK,2549783000.0
OSUR,171653000.0
OSW,120925000.0
OTIS,12756000000.0
OTRK,82837000.0
OTTR,890107000.0
OUT,1236300000.0
OVBC,46440000.0
OVID,12617221.0
OVLY,47607000.0
OVV,5509000000.0
OXM,748833000.0
OXY,17809000000.0
OYST,0.0
OZK,788985000.0
PACB,78893000.0
PACK,298200000.0
PACW,821618000.0
PAE,2714628000.0
PAG,20443900000.0
PAHC,800354000.0
PANW,3408400000.0
PAR,213786000.0
PARR,3124870000.0
PASG,0.0
PATK,2486597000.0
PAVM,0.0
PAYC,841434000.0
PAYS,24120434.0
PAYX,4040500000.0
PB,1142267000.0
PBCT,1904800000.0
PBF,15115900000.0
PBH,963010000.0
PBI,3554075000.0
PBIP,27880000.0
PBYI,225110000.0
PCAR,18728500000.0
PCB,64710000.0
PCG,18469000000.0
PCH,1040930000.0
PCRX,429647000.0
PCSB,46684000.0
PCTY,561329000.0
PCVX,0.0
PCYO,25855215.0
PD,213556000.0
PDCE,1099588000.0
PDCO,5490011000.0
PDFS,88046000.0
PDLB,52774000.0
PDM,535024000.0
PEAK,1644875000.0
PEB,442888000.0
PEBK,62777000.0
PEBO,175660000.0
PEG,9603000000.0
PEGA,1017517000.0
PEN,560412000.0
PENN,3578700000.0
PEP,70372000000.0
PETQ,780051000.0
PETS,309215000.0
PFBC,154217000.0
PFBI,72654000.0
PFC,252418000.0
PFE,41908000000.0
PFG,14741700000.0
PFGC,25086300000.0
PFIS,89043000.0
PFPT,1050010000.0
PFS,355282000.0
PFSI,5181304000.0
PG,70950000000.0
PGC,156962000.0
PGEN,103178000.0
PGNY,344858000.0
PGR,42638100000.0
PGRE,696244000.0
PGTI,882621000.0
PH,13695520000.0
PHAT,0.0
PHM,11036082000.0
PHR,148677000.0
PI,138923000.0
PII,7108300000.0
PINC,1299592000.0
PING,243589000.0
PINS,1692658000.0
PIPR,1238213000.0
PIRS,29323000.0
PJT,1052500000.0
PK,830000000.0
PKBK,59182000.0
PKE,60014000.0
PKG,6658200000.0
PKI,3782745000.0
PKOH,1295200000.0
PLAB,609691000.0
PLAN,447755000.0
PLAY,436512000.0
PLCE,1522598000.0
PLD,4736105000.0
PLMR,168463000.0
PLNT,363317000.0
PLOW,480154000.0
PLPC,466449000.0
PLRX,41817000.0
PLSE,0.0
PLTK,2371500000.0
PLUG,-100469000.0
PLUS,1588404000.0
PLXS,3390394000.0
PLYM,109832000.0
PM,28694000000.0
PMT,1408288000.0
PMVP,0.0
PNC,13726000000.0
PNFP,947894000.0
PNM,1523012000.0
PNR,3017800000.0
PNTG,390953000.0
PNW,3586982000.0
PODD,904400000.0
POLY,0.0
POOL,3936623000.0
POR,2145000000.0
POST,5698700000.0
POWI,488318000.0
POWL,518499000.0
PPBI,453720000.0
PPC,12091901000.0
PPD,4681474000.0
PPG,13834000000.0
PPL,7607000000.0
PQG,1107363000.0
PRA,874940000.0
PRAA,1065414000.0
PRAH,3183365000.0
PRAX,0.0
PRDO,687314000.0
PRFT,612133000.0
PRG,2484595000.0
PRGO,5063300000.0
PRGS,442150000.0
PRI,2275014000.0
PRK,441240000.0
PRLB,434395000.0
PRLD,0.0
PRMW,1953500000.0
PRO,252424000.0
PROS,816107000.0
PRPL,648471000.0
PRTA,853000.0
PRTK,46924000.0
PRTS,443884000.0
PRU,57091000000.0
PRVB,0.0
PSA,2984265000.0
PSB,415623000.0
PSMT,3329188000.0
PSN,3918946000.0
PSNL,78648000.0
PSTG,1684179000.0
PSTX,0.0
PSX,64171000000.0
PTC,1458415000.0
PTCT,380766000.0
PTEN,1124249000.0
PTGX,28628000.0
PTON,1825900000.0
PTVCB,468749000.0
PTVE,4689000000.0
PUMP,789232000.0
PVAC,261655000.0
PVBC,52418000.0
PVH,7132600000.0
PWOD,57766000.0
PXD,7026000000.0
PYPL,21454000000.0
PZN,138619000.0
PZZA,1813234000.0
QADA,307865000.0
QCOM,23531000000.0
QCRH,224196000.0
QDEL,1661668000.0
QGEN,1870346000.0
QLYS,362963000.0
QMCO,402949000.0
QNST,490339000.0
QRTEA,14177000000.0
QRVO,3239141000.0
QTNT,32656000.0
QTRX,86377000.0
QTS,537324000.0
QTWO,402751000.0
QUAD,2929600000.0
QUOT,445887000.0
R,8420091000.0
RAD,24043240000.0
RAMP,380572000.0
RAPT,5042000.0
RARE,271030000.0
RAVN,348359000.0
RBB,106972000.0
RBBN,843795000.0
RBC,2907000000.0
RBCAA,288090000.0
RBNC,129605000.0
RC,383065000.0
RCII,2814191000.0
RCKT,0.0
RCKY,277309000.0
RCL,2208805000.0
RCM,1270800000.0
RCUS,77517000.0
RDFN,886093000.0
RDN,1438617000.0
RDNT,1098104000.0
RDUS,238645000.0
RE,9605414000.0
REAL,299949000.0
REG,1047931000.0
REGI,2137148000.0
REGN,8310400000.0
REPH,66499000.0
REPL,0.0
RES,598302000.0
RETA,9019000.0
REV,1904300000.0
REVG,2277600000.0
REX,372846000.0
REXR,330135000.0
REYN,3263000000.0
REZI,5071000000.0
RF,4955000000.0
RFL,4910000.0
RGA,14596000000.0
RGCO,63075391.0
RGEN,366260000.0
RGLD,494995000.0
RGNX,154567000.0
RGP,703353000.0
RGR,568868000.0
RGS,669729000.0
RH,2848626000.0
RHI,5109000000.0
RHP,518024000.0
RICK,132327000.0
RIG,3152000000.0
RIGL,108621000.0
RILY,795021000.0
RJF,7757000000.0
RKT,15980705000.0
RL,6159800000.0
RLAY,82654000.0
RLGT,855197000.0
RLGY,6221000000.0
RLJ,472174000.0
RLMD,0.0
RM,363564000.0
RMAX,266001000.0
RMBI,36618233.0
RMBS,246322000.0
RMD,2957013000.0
RMR,171677000.0
RMTI,62197000.0
RNA,6787000.0
RNG,1183657000.0
RNR,5146843000.0
RNST,575479000.0
ROAD,785679000.0
ROCK,1032578000.0
ROG,802583000.0
ROIC,284114000.0
ROK,6329800000.0
ROKU,1778388000.0
ROL,2161220000.0
ROLL,727461000.0
ROP,5527100000.0
ROST,12531565000.0
RPAI,430043000.0
RPAY,155035943.0
RPD,411486000.0
RPM,5506994000.0
RPRX,2122353000.0
RPT,193302000.0
RRBI,85563000.0
RRC,1780986000.0
RRGB,868715000.0
RRR,1182445000.0
RS,8811900000.0
RSG,10153600000.0
RTX,56587000000.0
RUBY,0.0
RUN,922191000.0
RUSHA,4735940000.0
RUSHB,4735940000.0
RUTH,277748000.0
RVI,169808000.0
RVMD,42983000.0
RVNC,15325000.0
RVSB,49707000.0
RWT,-318034000.0
RXN,1910799522.0
RXT,2707100000.0
RYAM,1738899000.0
RYI,3466600000.0
RYN,859154000.0
RYTM,0.0
SABR,1334100000.0
SAFE,158731000.0
SAFM,3564267000.0
SAFT,846248000.0
SAGE,1114200000.0
SAH,9767042000.0
SAIA,1822366000.0
SAIC,7056000000.0
SAIL,365254000.0
SAM,1736432000.0
SAMG,107983000.0
SANA,0.0
SANM,6960370000.0
SASR,380206000.0
SATS,1887907000.0
SAVA,0.0
SAVE,1810022000.0
SB,198158000.0
SBAC,2083138000.0
SBCF,286134000.0
SBGI,5943000000.0
SBH,3514330000.0
SBNY,1346246000.0
SBRA,601115000.0
SBSI,216796000.0
SBT,55236000.0
SBTX,0.0
SBUX,23518000000.0
SC,4418911000.0
SCCO,7984900000.0
SCHL,1487100000.0
SCHN,1712343000.0
SCHW,11691000000.0
SCI,3511509000.0
SCL,1869750000.0
SCOR,356036000.0
SCS,2596200000.0
SCSC,3047734000.0
SCU,897020000.0
SCVL,976765000.0
SCWX,561034000.0
SDGR,108095000.0
SEAC,21999000.0
SEAS,431779000.0
SEB,7126000000.0
SEDG,1459271000.0
SEE,4903200000.0
SEER,656000.0
SEIC,1684058000.0
SELB,16597000.0
SEM,5531713000.0
SENEA,1335769000.0
SF,3718136000.0
SFBS,325373000.0
SFE,0.0
SFIX,1711733000.0
SFL,466427000.0
SFM,6468759000.0
SFNC,812919000.0
SFST,77600000.0
SGA,95813000.0
SGC,526697000.0
SGEN,2175536000.0
SGFY,610600000.0
SGH,1122377000.0
SGMO,118192000.0
SGMS,2724000000.0
SGRY,1860100000.0
SHAK,522867000.0
SHBI,59446000.0
SHC,818158000.0
SHEN,220775000.0
SHLS,175518000.0
SHO,267906000.0
SHOO,1201814000.0
SHW,18361700000.0
SHYF,675973000.0
SI,89874000.0
SIBN,73387000.0
SIEB,54523000.0
SIEN,71241000.0
SIG,5226900000.0
SIGA,124959304.0
SIGI,2922274000.0
SILK,75227000.0
SIRI,8040000000.0
SITC,461442000.0
SITE,2704500000.0
SITM,116156000.0
SIVB,3746904000.0
SIX,356575000.0
SJI,1541383000.0
SJM,7801000000.0
SJW,564526000.0
SKT,394208000.0
SKX,4613431000.0
SKY,1369730000.0
SKYW,2127106000.0
SLAB,886677000.0
SLB,23601000000.0
SLCA,845885000.0
SLCT,52325000.0
SLDB,0.0
SLG,1027549000.0
SLGN,4921943000.0
SLM,1707309000.0
SLP,41589084.0
SLQT,531515000.0
SM,1080482000.0
SMAR,385513000.0
SMBC,88884000.0
SMBK,107609000.0
SMCI,3339281000.0
SMED,51146000.0
SMG,4131600000.0
SMMF,101065000.0
SMP,1128588000.0
SMPL,816641000.0
SMTC,595117000.0
SNA,3942200000.0
SNBR,1856555000.0
SNCR,291670000.0
SNDR,4552800000.0
SNDX,1517000.0
SNEX,54035600000.0
SNPS,3685281000.0
SNR,336281000.0
SNV,1664239000.0
SNX,24675563000.0
SO,20375000000.0
SOI,102976000.0
SON,5237443000.0
SONO,1326328000.0
SP,549000000.0
SPB,3964200000.0
SPCE,238000.0
SPFI,198318000.0
SPG,4604042000.0
SPGI,7442000000.0
SPKE,554890000.0
SPLK,2229385000.0
SPNE,154345000.0
SPNS,382903000.0
SPNT,881792000.0
SPOK,148180000.0
SPOT,7880000000.0
SPPI,0.0
SPR,3404800000.0
SPRO,9330000.0
SPSC,312630000.0
SPT,132949000.0
SPTN,9348485000.0
SPWH,1451767000.0
SPWR,1124829000.0
SPXC,1559500000.0
SQ,9497578000.0
SR,1855400000.0
SRC,482917000.0
SRCE,294520000.0
SRCL,2675500000.0
SRDX,94864000.0
SRE,11370000000.0
SRG,111783000.0
SRGA,101749000.0
SRI,648006000.0
SRNE,39986000.0
SRPT,540099000.0
SRRK,15403000.0
SSB,901616000.0
SSD,1267945000.0
SSNC,4667900000.0
SSP,1857478000.0
SSTI,45734000.0
SSTK,666686000.0
ST,3045578000.0
STAA,163460000.0
STAG,483411000.0
STAR,546175000.0
STAY,1027455000.0
STBA,204468000.0
STC,2288432000.0
STE,3030895000.0
STEP,446611000.0
STFC,1482400000.0
STL,748097000.0
STLD,9601482000.0
STMP,757980000.0
STNE,3179136000.0
STNG,915892000.0
STOK,0.0
STOR,697168000.0
STRA,1027653000.0
STRL,1427412000.0
STRO,42722000.0
STRS,61015000.0
STT,11615000000.0
STTK,9934000.0
STWD,673004000.0
STXB,113554000.0
STXS,26630035.0
STZ,8614900000.0
SUI,1382857000.0
SUM,2332451000.0
SUMO,202637000.0
SUPN,520397000.0
SVC,1265254000.0
SVMK,375610000.0
SVRA,257000.0
SWAV,67789000.0
SWBI,678390000.0
SWCH,511547000.0
SWI,1019241000.0
SWK,14534600000.0
SWKS,3355700000.0
SWM,1074400000.0
SWN,2308000000.0
SWTX,35000000.0
SWX,3298873000.0
SXC,1333000000.0
SXI,604535000.0
SXT,1332001000.0
SYBT,167806000.0
SYF,5852000000.0
SYK,14351000000.0
SYKE,1710261000.0
SYNA,1333900000.0
SYNH,4415777000.0
SYRS,15093000.0
SYX,1029000000.0
SYY,52893310000.0
T,171760000000.0
TACO,491883000.0
TALO,577532000.0
TAP,9654000000.0
TAST,1547502000.0
TBBK,273131000.0
TBI,1846360000.0
TBIO,138811000.0
TBK,306784000.0
TBNK,62818000.0
TBPH,71857000.0
TCBI,796342000.0
TCBK,269543000.0
TCDA,0.0
TCF,1814918000.0
TCFC,58633000.0
TCMD,187130000.0
TCRR,0.0
TCS,915953000.0
TCX,311202000.0
TDC,1836000000.0
TDG,5103000000.0
TDOC,1093962000.0
TDS,5225000000.0
TDW,397038000.0
TDY,3086200000.0
TEAM,1614173000.0
TECH,738691000.0
TELL,37434000.0
TEN,15379000000.0
TENB,440221000.0
TER,3121469000.0
TEX,3076400000.0
TFC,20370000000.0
TFSL,292519000.0
TFX,2537156000.0
TG,755290000.0
TGH,665315000.0
TGI,2900117000.0
TGNA,2937780000.0
TGT,93561000000.0
TGTX,152000.0
TH,225148000.0
THC,17640000000.0
THFF,178294000.0
THG,4827300000.0
THO,8167933000.0
THR,383486000.0
THRM,913098000.0
THS,4349700000.0
TILE,1103262000.0
TIPT,814729000.0
TISI,852539000.0
TITN,1411222000.0
TJX,32136962000.0
TKR,3513200000.0
TLS,179917000.0
TLYS,531329000.0
TMDX,25639000.0
TMHC,6129320000.0
TMO,32218000000.0
TMP,283048000.0
TMST,830700000.0
TMUS,68397000000.0
TMX,1961000000.0
TNC,1001000000.0
TNDM,498830000.0
TNET,4034000000.0
TNL,2160000000.0
TOL,7077659000.0
TOWN,597158000.0
TPB,405111000.0
TPC,5318763000.0
TPH,3260447000.0
TPIC,1670137000.0
TPR,4961400000.0
TPTX,25000000.0
TPX,3676900000.0
TR,471063000.0
TRC,37830000.0
TREC,208626000.0
TREE,909990000.0
TREX,880831000.0
TRGP,8260300000.0
TRHC,297219000.0
TRIP,604000000.0
TRMB,3147700000.0
TRMK,665017000.0
TRN,1999400000.0
TRNO,186884000.0
TRNS,173099000.0
TROW,6206700000.0
TROX,2758000000.0
TRS,769970000.0
TRST,165150000.0
TRTN,1360479000.0
TRTX,107217000.0
TRU,2716600000.0
TRUE,278678000.0
TRV,31981000000.0
TSBK,64468000.0
TSC,175749000.0
TSCO,10620352000.0
TSE,3035500000.0
TSHA,0.0
TSLA,31536000000.0
TSN,43185000000.0
TT,12454700000.0
TTC,3378810000.0
TTD,836033000.0
TTEC,1949248000.0
TTEK,2348572000.0
TTGT,148376000.0
TTMI,2105322000.0
TTWO,3088970000.0
TUP,1740100000.0
TVTY,437714000.0
TW,892343000.0
TWLO,1761776000.0
TWNK,1016609000.0
TWO,-532103000.0
TWOU,774533000.0
TWST,90100000.0
TWTR,3716349000.0
TXG,298845000.0
TXMD,64872280.0
TXN,14461000000.0
TXRH,2398123000.0
TXT,11651000000.0
TYL,1116663000.0
TYME,0.0
U,772445000.0
UA,4474667000.0
UAA,4474667000.0
UAL,15355000000.0
UBA,127473000.0
UBER,11139000000.0
UBFO,34262000.0
UBSI,935467000.0
UBX,0.0
UCBI,577434000.0
UCTT,1398600000.0
UE,330095000.0
UEIC,614680000.0
UFCS,1068627000.0
UFI,606509000.0
